node_id,node_name,lamp_status,relay_status,energy,power,current,rsl_out,rsl_in,disconnectivity,connectivity,availability,rpl_rank,ipv6,temperature,relative_humidity,ambient_light
1,wn03-2329-0001,ON,OFF,333732.0,609.3,2.51,-52,-61,0-04:05:24,4-05:11:59,99.59,262,6695,36.35,23.0,10.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,333978.0,610.7,2.52,-50,-60,0-04:07:11,0-00:06:08,99.59,256,6695,34.11,29.6,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,334082.0,610.6,2.53,-51,-59,0-04:07:11,0-00:16:19,99.59,256,6695,33.72,30.2,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,334186.0,610.0,2.53,-51,-58,0-04:07:11,0-00:26:30,99.59,256,6695,33.61,30.4,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,334290.0,612.4,2.51,-51,-60,0-04:07:11,0-00:36:41,99.59,256,6695,33.5,30.0,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,334394.0,611.1,2.47,-51,-59,0-04:07:11,0-00:46:52,99.59,314,6695,33.97,29.5,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,334498.0,612.5,2.48,-53,-60,0-04:07:11,0-00:57:04,99.59,314,6695,33.69,29.2,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,334602.0,609.0,2.48,-53,-61,0-04:07:11,0-01:07:16,99.59,304,6695,33.47,30.6,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,334706.0,609.4,2.45,-53,-65,0-04:07:11,0-01:17:27,99.59,297,6695,33.09,32.5,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,334810.0,614.0,2.48,-54,-63,0-04:07:11,0-01:27:38,99.59,297,6695,32.97,32.7,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,334915.0,616.4,2.52,-54,-61,0-04:07:11,0-01:37:49,99.59,297,6695,32.89,32.4,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,335020.0,615.5,2.52,-55,-66,0-04:07:11,0-01:48:01,99.59,291,6695,33.04,31.3,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,335124.0,612.9,2.49,-54,-65,0-04:07:11,0-01:58:12,99.59,286,6695,33.2,30.5,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,335229.0,615.5,2.52,-56,-67,0-04:07:11,0-02:08:23,99.59,286,6695,33.27,30.2,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,335333.0,616.5,2.55,-55,-63,0-04:07:11,0-02:18:34,99.59,282,6695,33.24,30.2,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,335438.0,614.1,2.55,-55,-64,0-04:07:11,0-02:28:46,99.59,282,6695,33.15,30.7,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,335543.0,610.4,2.54,-57,-67,0-04:07:11,0-02:38:57,99.59,278,6695,33.28,31.5,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,335647.0,616.4,2.55,-57,-65,0-04:07:11,0-02:49:08,99.59,278,6695,33.18,31.4,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,335752.0,615.5,2.57,-56,-63,0-04:07:11,0-02:59:19,99.59,275,6695,33.24,31.3,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,335857.0,615.3,2.6,-55,-63,0-04:07:11,0-03:09:31,99.59,275,6695,33.17,31.1,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,335961.0,614.8,2.6,-56,-64,0-04:07:11,0-03:19:42,99.59,272,6695,33.5,30.8,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,336066.0,615.2,2.57,-55,-69,0-04:07:11,0-03:29:53,99.59,272,6695,33.13,31.5,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,336170.0,612.3,2.56,-60,-69,0-04:07:11,0-03:40:04,99.59,270,6695,33.47,31.4,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,336275.0,614.9,2.54,-59,-63,0-04:07:11,0-03:50:15,99.59,270,6695,33.76,31.1,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,336379.0,612.6,2.52,-58,-63,0-04:07:11,0-04:00:27,99.59,268,6695,33.35,32.6,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,336484.0,611.0,2.51,-58,-62,0-04:07:11,0-04:10:38,99.59,266,6695,33.22,35.1,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,336588.0,611.3,2.51,-56,-61,0-04:07:11,0-04:20:49,99.59,266,6695,33.32,35.0,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,336693.0,612.4,2.53,-54,-64,0-04:07:11,0-04:31:00,99.59,264,6695,33.1,34.7,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,336797.0,615.1,2.52,-54,-61,0-04:07:11,0-04:41:12,99.59,264,6695,32.31,35.5,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,336902.0,614.8,2.53,-53,-62,0-04:07:11,0-04:51:23,99.59,264,6695,32.85,36.4,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,337006.0,614.6,2.53,-52,-61,0-04:07:11,0-05:01:34,99.59,263,6695,32.6,35.0,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,337111.0,614.3,2.53,-53,-63,0-04:07:11,0-05:11:45,99.59,262,6695,32.51,34.2,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,337215.0,614.1,2.54,-54,-64,0-04:07:11,0-05:21:56,99.59,262,6695,32.42,34.0,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,337320.0,614.6,2.53,-55,-63,0-04:07:11,0-05:32:08,99.59,261,6695,32.49,34.4,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,337425.0,614.6,2.54,-56,-62,0-04:07:11,0-05:42:19,99.59,261,6695,32.3,35.0,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,337529.0,614.4,2.53,-56,-65,0-04:07:11,0-05:52:30,99.59,268,6695,32.15,35.9,0.0
